SRR11212915	ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/015/SRR11212915/SRR11212915_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/015/SRR11212915/SRR11212915_2.fastq.gz	26380750;26639626	360610
SRR11212916	ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/016/SRR11212916/SRR11212916_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/016/SRR11212916/SRR11212916_2.fastq.gz	19909032;20586149	316257
SRR11212917	ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/017/SRR11212917/SRR11212917_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/017/SRR11212917/SRR11212917_2.fastq.gz	41822655;42500519	563044
SRR11212918	ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/018/SRR11212918/SRR11212918_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/018/SRR11212918/SRR11212918_2.fastq.gz	52512715;53240925	708703
SRR11212919	ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/019/SRR11212919/SRR11212919_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/019/SRR11212919/SRR11212919_2.fastq.gz	22708294;23277422	309924
SRR11212920	ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/020/SRR11212920/SRR11212920_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/020/SRR11212920/SRR11212920_2.fastq.gz	25717724;26561058	410971
SRR11212921	ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/021/SRR11212921/SRR11212921_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/021/SRR11212921/SRR11212921_2.fastq.gz	38002754;38694950	509891
SRR11212922	ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/022/SRR11212922/SRR11212922_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/022/SRR11212922/SRR11212922_2.fastq.gz	42681739;43452959	576124
SRR11212923	ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/023/SRR11212923/SRR11212923_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/023/SRR11212923/SRR11212923_2.fastq.gz	25671146;26527409	404687
SRR11212924	ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/024/SRR11212924/SRR11212924_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/024/SRR11212924/SRR11212924_2.fastq.gz	71116304;72507904	968560
SRR11212925	ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/025/SRR11212925/SRR11212925_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/025/SRR11212925/SRR11212925_2.fastq.gz	19759573;20234017	264665
SRR11212926	ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/026/SRR11212926/SRR11212926_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/026/SRR11212926/SRR11212926_2.fastq.gz	36410992;37563184	501838
SRR11212927	ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/027/SRR11212927/SRR11212927_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/027/SRR11212927/SRR11212927_2.fastq.gz	25832515;26627898	332725
SRR11212928	ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/028/SRR11212928/SRR11212928_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/028/SRR11212928/SRR11212928_2.fastq.gz	76115399;78354372	1036383
SRR11212929	ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/029/SRR11212929/SRR11212929_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/029/SRR11212929/SRR11212929_2.fastq.gz	17097471;17773005	224411
SRR11212930	ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/030/SRR11212930/SRR11212930_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/030/SRR11212930/SRR11212930_2.fastq.gz	19858792;20421136	260814
SRR11212931	ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/031/SRR11212931/SRR11212931_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/031/SRR11212931/SRR11212931_2.fastq.gz	27697896;28792532	363287
SRR11212932	ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/032/SRR11212932/SRR11212932_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/032/SRR11212932/SRR11212932_2.fastq.gz	12963101;13421198	168763
SRR11212933	ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/033/SRR11212933/SRR11212933_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/033/SRR11212933/SRR11212933_2.fastq.gz	27161433;27962482	351804
SRR11212934	ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/034/SRR11212934/SRR11212934_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/034/SRR11212934/SRR11212934_2.fastq.gz	55916407;56546420	748780
SRR11212935	ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/035/SRR11212935/SRR11212935_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/035/SRR11212935/SRR11212935_2.fastq.gz	21979742;22028701	297885
SRR11212936	ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/036/SRR11212936/SRR11212936_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/036/SRR11212936/SRR11212936_2.fastq.gz	41323583;41765000	557564
SRR11212937	ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/037/SRR11212937/SRR11212937_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/037/SRR11212937/SRR11212937_2.fastq.gz	54660701;55918463	738724
SRR11212938	ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/038/SRR11212938/SRR11212938_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/038/SRR11212938/SRR11212938_2.fastq.gz	88174353;92133149	1146436
SRR11212939	ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/039/SRR11212939/SRR11212939_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/039/SRR11212939/SRR11212939_2.fastq.gz	83592182;88077454	1092029
SRR11212940	ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/040/SRR11212940/SRR11212940_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/040/SRR11212940/SRR11212940_2.fastq.gz	91722879;95758203	1206353
SRR11212941	ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/041/SRR11212941/SRR11212941_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/041/SRR11212941/SRR11212941_2.fastq.gz	108609833;112716451	1414168
SRR11212942	ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/042/SRR11212942/SRR11212942_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/042/SRR11212942/SRR11212942_2.fastq.gz	23658969;24626527	304385
SRR11212943	ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/043/SRR11212943/SRR11212943_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/043/SRR11212943/SRR11212943_2.fastq.gz	42646547;44812558	556838
SRR11212944	ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/044/SRR11212944/SRR11212944_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/044/SRR11212944/SRR11212944_2.fastq.gz	11347418;11804195	149045
SRR11212945	ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/045/SRR11212945/SRR11212945_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/045/SRR11212945/SRR11212945_2.fastq.gz	32133715;33836539	412871
SRR11212946	ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/046/SRR11212946/SRR11212946_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/046/SRR11212946/SRR11212946_2.fastq.gz	39263224;41248190	509954
SRR11212947	ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/047/SRR11212947/SRR11212947_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/047/SRR11212947/SRR11212947_2.fastq.gz	26736669;27853578	342903
SRR11212948	ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/048/SRR11212948/SRR11212948_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/048/SRR11212948/SRR11212948_2.fastq.gz	35419989;36151767	478467
SRR11212949	ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/049/SRR11212949/SRR11212949_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/049/SRR11212949/SRR11212949_2.fastq.gz	98034230;100652526	1274716
SRR11212950	ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/050/SRR11212950/SRR11212950_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/050/SRR11212950/SRR11212950_2.fastq.gz	199235335;202779071	2624329
SRR11212951	ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/051/SRR11212951/SRR11212951_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/051/SRR11212951/SRR11212951_2.fastq.gz	97878635;100300297	1295282
SRR11212952	ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/052/SRR11212952/SRR11212952_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/052/SRR11212952/SRR11212952_2.fastq.gz	170753562;177489313	2242469
SRR11212953	ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/053/SRR11212953/SRR11212953_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/053/SRR11212953/SRR11212953_2.fastq.gz	164391139;169142720	2190453
